Wall time,Step,Value
1683118489.1768236,516,-1000.3329467773438
1683118491.169246,517,-1000.4452514648438
1683118495.1664867,519,-1000.1030883789062
1683118504.9908912,524,-1000.4418334960938
1683118507.0501783,525,-1000.3442993164062
1683118518.725541,531,-1000.1448364257812
1683118522.6586459,533,-1000.1185913085938
1683118524.5272791,534,-1000.3748168945312
1683118526.5313857,535,-1000.3031616210938
1683118528.5322406,536,-1000.1770629882812
1683118530.403954,537,-1000.0374755859375
1683118532.551587,538,-1000.0783081054688
1683118534.5008843,539,-1000.2734375
1683118536.4834595,540,-1000.444580078125
1683118538.4419422,541,-1000.4037475585938
1683118540.3622167,542,-1000.1116333007812
1683118544.2947748,544,-1000.194091796875
1683118550.08651,547,-1000.2399291992188
1683118552.0649645,548,-1000.128662109375
1683118554.0600488,549,-1000.0282592773438
1683118557.9299858,551,-1000.4212646484375
1683118565.7491515,555,-1000.4100341796875
1683118569.603778,557,-1000.1112060546875
1683118573.4657857,559,-1000.2201538085938
1683118581.405949,563,-1000.4255981445312
1683118583.2782073,564,-1000.0064697265625
1683118585.2628038,565,-1000.1712036132812
1683118593.0564258,569,-1000.2669067382812
1683118601.0058284,573,-1000.197021484375
1683118602.8593488,574,-1000.3944702148438
1683118608.664075,577,-1000.4384155273438
1683118612.6015437,579,-1000.08251953125
1683118614.4623344,580,-1000.1569213867188
1683118616.4787796,581,-1000.2757568359375
1683118618.433085,582,-1000.2759399414062
1683118620.3944407,583,-1000.3460693359375
1683118622.4760075,584,-1000.3282470703125
1683118626.4486141,586,-1000.4601440429688
1683118628.3518066,587,-1000.0560302734375
1683118637.903007,592,-1000.1210327148438
1683118639.8199227,593,-1000.2709350585938
1683118645.7903385,596,-1000.2296752929688
1683118647.7593167,597,-1000.1065673828125
1683118653.8880856,600,-1000.437744140625
1683118657.785593,602,-1000.2514038085938
1683118665.4542906,606,-1000.4306640625
1683118669.467845,608,-1000.1326904296875
1683118673.3938677,610,-1000.3821411132812
1683118677.0808136,612,-1000.1744384765625
1683118683.1306875,615,-1000.4451904296875
1683118691.071984,619,-1000.2433471679688
